"relative_path","top","category","extension","bytes","lines","last_write_utc"
"mcps/CodSpeed/tools/compare_runs.json","mcps","mcp-tool-schemas",".json","1330","27","2026-06-20T11:14:36.1379334Z"
"mcps/CodSpeed/tools/get_benchmark_result.json","mcps","mcp-tool-schemas",".json","1999","37","2026-06-20T11:14:36.1409720Z"
"mcps/CodSpeed/tools/get_run.json","mcps","mcp-tool-schemas",".json","1010","25","2026-06-20T11:14:36.1434810Z"
"mcps/CodSpeed/tools/list_repositories.json","mcps","mcp-tool-schemas",".json","298","9","2026-06-20T11:14:36.1464473Z"
"mcps/CodSpeed/tools/list_runs.json","mcps","mcp-tool-schemas",".json","1532","50","2026-06-20T11:14:36.1499441Z"
"mcps/CodSpeed/tools/query_flamegraph.json","mcps","mcp-tool-schemas",".json","2265","41","2026-06-20T11:14:36.1519486Z"
"mcps/context7/tools/query-docs.json","mcps","mcp-tool-schemas",".json","1502","22","2026-06-20T11:14:36.3971939Z"
"mcps/context7/tools/resolve-library-id.json","mcps","mcp-tool-schemas",".json","3019","22","2026-06-20T11:14:36.3992011Z"
"mcps/exa/tools/web_fetch_exa.json","mcps","mcp-tool-schemas",".json","893","26","2026-06-20T11:14:36.4027112Z"
"mcps/exa/tools/web_search_exa.json","mcps","mcp-tool-schemas",".json","1342","24","2026-06-20T11:14:36.4052221Z"
"mcps/fakechat/tools/edit_message.json","mcps","mcp-tool-schemas",".json","315","19","2026-06-20T11:14:36.4082228Z"
"mcps/fakechat/tools/reply.json","mcps","mcp-tool-schemas",".json","450","24","2026-06-20T11:14:36.4114460Z"
"mcps/filesystem/tools/create_directory.json","mcps","mcp-tool-schemas",".json","580","16","2026-06-20T11:14:36.4159648Z"
"mcps/filesystem/tools/directory_tree.json","mcps","mcp-tool-schemas",".json","768","23","2026-06-20T11:14:36.4185057Z"
"mcps/filesystem/tools/edit_file.json","mcps","mcp-tool-schemas",".json","1106","42","2026-06-20T11:14:36.4205067Z"
"mcps/filesystem/tools/get_file_info.json","mcps","mcp-tool-schemas",".json","563","16","2026-06-20T11:14:36.4235352Z"
"mcps/filesystem/tools/list_allowed_directories.json","mcps","mcp-tool-schemas",".json","434","9","2026-06-20T11:14:36.4271740Z"
